text,generated,predicted
"Dear Senator,

I would like to argue in favor of keeping the Electoral College. I believe that having an Elecotral college vote helps the President have a greater chance of becoming elected. This process also makes it a fair game of becoming elected for President.It's not only about the President though. When you vote for a presidential candidate you're actually voting for a slate of electors.

As I mentioned before, having and electoral votes makes it fair game for everyone. It states that the Electoral College requires a presidential candidate to have trans-regional appeal. This means that the presidential candidate cannot get votes based on the region they are from. No region has enough electoral votes to elect a President. He gains no votes by increasing pluraity in states that he knows he will win. This results with unlikely success of the President.

The Electoral College restores some of the weight in the political balance that large states lose by virtue of the mal-apportionment of the Senate decreed in the Constitution. The Electoral College avoids the problem of elections in which no candidate recieves a majority of the votes cast. When no candidate wins a majority of the vast cast, it causes complications in the presidential election process. That's when the Electoral College steps in and prodices a clear winner.

Sure it can be argued that the Electoral College method of selecting the president may not be the best way of geting potential voters for a candidate, but the way they do things makes it fair game. It keeps the system balanced. The Electoral College is an established compromise in the Constitution brought on by the Founding Fathers. It's something original that I think should live on instead of being taken away. The Electoral College should stay.

Signed, PROPER_NAME",0,1
"phones and driving

How many of you own a cell phone? And how many of you have used your cell phone while driving? The second we hear the ring of an incoming call or the beep of a text message, we instinctively reach for our phone to answer. But while driving, that may not be the wisest decision. For those of you that do not use your cell phone while driving, then I would like to thank you, because by resisting your phone, you could be saving a life. That is a powerful statement, but it is true.

Cell phone use while driving is dangerous. In Houston Texas, a father of five children veered of the road into the Green Bayou River. The father had his five children in the car when he veered off the road in the river. The reason for his reckless driving, he was distracted because he answered an incoming cell phone call. This tragic accident could've been prevented if the father had simply ignored his phone when it was ringing.

Accidents such as this are happening more frequently because people are talking and texting on their cell phones rather than paying attention to the road. To prevent our loved ones from becoming victims, like the five innocent children who lost their lives in Houston, we must support the banning of cell phone use in cars and make the choice to put down our own cell phones when we are driving. Better yet, let's turn them off when we get in the car and turn them back on when we arrive at our destination.

As you can see, driving while using a cell phone is unsafe and may result in serious and even deadly consequences. It is so dangerous that cell phone use in the car is compared to drunk driving or driving under the influence of drugs. If you think about it, in both situations the driver's awareness is altered. I am going to give you three reasons why cell phone use should be banned. The first reason why cell phone use should be banned is because it is very distracting. When we are talking on the phone or texting while driving, our attention is on our phone rather than the road. Secondly, this distraction had caused numerous car accidents that have resulted in deaths and seriously injured people. The third and final reason that cell phone use should be banned in cars is because cell phone users are reckless as drunk drivers. Since accidents are occurring more frequently, cell phone users are being compared to drunk drivers due to the recklessness of their driving and lack of awareness.",0,1
"What is the best leaning environment? Working in groups or working alone? Some people like to work in groups and others like to work alone. Many people have their ways of learning certain things. Some may like working in groups because it makes the work easier, bring up their confidence and social life. Others may like working alone because it helps people concentrate, they like to get their work done faster and they don't feel uncomfortable towards other people.

First, Working in groups might make the work easier, help bring up their confidence, or their social life. It can make their work easier by separating the work to make it faster to deal with the work. It can help bring their confidence by talking to other people. It can help them bring courage to make new friends and learn about each other. It can also help them with their social life. Instead of being on their phones they are learning together and getting work done. They are also getting to know each other.

Second, Working alone can help people concentrate in their work, they could be fast workers, and they don't feel uncomfortable towards new people. It can help them by concentrating in their own work to feel more comfortable with themselves. They could be fast workers because they are not being distracted and they can go on their own speed. They won't feel uncomfortable or awkward by other people because some people don't like meeting or being with people. Most of them just want to be alone or with people they might know.

All in all, find what you feel more comfortable with it could be being alone or being in a group to study with people you might want to get to know or with your friends that your comfortable with. Working alone is the best choice for most people because they might be able to work faster, they are fully concentrated in their own hard work and they might just feel comfortable with themselves.",0,1
"Dear Florida state senator,

I argue in favor of keeping the Electoral College. The Electoral College is meant to be a compromise between election of the President by a vote in congress and election of the President by a popular vote of qualified citizens. I argue for keeping the Electoral College because of several reasons backed up with information.

Firstly, I'd like to point out that the Electoral College makes it so that larger states don't have larger influence than smaller states. If the Electoral College is removed then larger states shall have much more political power than smaller states. Which means that a small state might not get the same amount of attention from presidential candidates as a larger state would like Florida.

Secondly, the Electoral College avoids Run-off Elections in which no Presidential candidate receives a majority of the votes cast. It avoids that problem because candidates can win Presidency by electoral votes instead of popularity vote. For example, Nixon and Clinton didn't have the majority of the popular votes, but they still won because of electoral votes. If the Electoral College hadn't exist then elections might be more frustrating for everyone, because the Electoral College makes a certainty of outcome.

Thirdly, the Electoral College makes sure that a presidential candidate has trans-regional appeal. This is good because a candidate with only regional appeal is probably not going to be a very good president. And besides without the Electoral College there would be many presidents with regional appeal wich would make other states feel left out, and this could be catastrophic to the unity of America.

In conlcusion, despite the Electoral College isn't exactly of democratic origins, it still equalizes the political power of states, makes sure that candidates have trans-regional appeal and avoids run-off elections. Overall I say that the Electoral College is very important in keeping how we choose our president balanced and smooth.",0,1
"Some people believe that glorifying a student's work might help them build self-steem, even when they have not put a lot of effort into it. They believe that students should be confidents in themselves in so they can learn. Others believe that glorifying a student's work that does not have a lot of effort into it lowers their levels of learning. They believe that in order to build self-steem they must complete achievements. I believe that students do not need others to praise their work, even when they did not put enough effort into it. It would make students think that what they did is perfect and that they do not need to work more on it or to do some more effort to achieve what they want. Although some people might not agree. They would think that it is a good thing to glorify students work only to make them feel confident. However, I firmly believe that students should put effort on what they do and that they do not need other people to praise their work only to make the feel confidents with themselves.

One reason I believe students do not need to be praised on their work is because it would only make them rely on what they have and not work to achieve more results. They will not do more of what they are capable of. In addition, they will not put more effort on what they need to do. They do not need others to praise their work only to make them feel confident with themselves. Finally, students will always need others to tell them what they did is amazing to raise their self-steem. This matters because there are people who still believe that praising a student's work will help them to be self-consident.

Second reason I believe that students do not need to other people to glorify their work is beacause it would make them think that everything they do is correct. Students will think that they are not capable of doing more than what they believe they can do. For example, they will always check their work with others only to feel confident with what they did. In addition, I think it is best to tell students that they need to be confident with themselves instead of praising their work. FInally, students do not need others to praise their work in order to be self-confident. This is importan because people have to tell students that they need to be self-confident, even when what they did has not their best effort.

Third reason I believe that achievement is the key to build self-steem is because only achieving what we want we can feel confident with ourselves. I think that to build self-steem we must put a lot of effort to achieve what we have to do. Students need to achieve what they have to do in order to be self-confident. This matters because students should know that they need to work hard and that means to put their best effort, if they want to build self-steem.

In conclusion, I believe that people should not praise the students work only to help them build their self-steem. Sometimes they have not put their best effort in their work. They are going to feel that they are always doing exactly what they needed to do, even if is not like that. In order to be self- confident students must do achievements. However, some people will not agree with my opinion and they will say that it is best to tell students that their work is well done, even when is not only not to make them feel bad or to damage their self-steem.",0,1
"In recent years, many places all around the world have taken the intiative to lower the use of motor-vehicles, specifically cars, with the intent of decreasing the amount of greenhouse gas being emitted into the air. There are various actions being taken in this attempt, with some neighborhoods going as far as eliminating the use of their cars completely. No matter what actions are being taken, the real goal is to improve the planet and the quality of the air that we are breathing.

As mentioned before, one of the main goals of limiting car use is to improve our air by decreasing the amount of greenhouse gases being put into it. If you are driving your car to and from work every single day, and you live in a city where your house/apartment is about 10 minutes away, don't you think you could ride your bike every now and then? Even if you don't have a bike, you could try taking the bus, or maybe even a taxi. By riding your bike, you are eliminating the chance of putting out any greenhouse gases, and by taking the bus, you are reducing the amount of gas being put out.

Aside from improving the environment by limiting car use, you can also improve yourself. Instead of driving your car everyday, you can ride your bike to where you need to go (as previously suggested), and in turn get a small workout. Riding your bike works your muscles, especially your leg muscles, gets your blood pumping, and even reduces stress. If you start riding your bike, you could improve your health and just feel better overall. You can also avoid sitting in a stuffy car and breathe in some fresh air.

In the end, limiting car use seems to have more pros than cons, so it's easy to see why so many places/people have jumped on board with the idea. Even if cars weren't harsh on the environment, they're still bulky and expensive, being more of a hassle than anything else. Why wouldn't you want to limit their use?",0,1
"The limitation of human contact has been a negative effect in peoples lives; people are so caught up in today's technology that no one really talks in person anymore. People do anything on phones, but it has negative things to using them a lot: dating people through text, and less communication in real life and more over text. While most people believe that technology has positive effects in reality, it is mostly a negative effect.

Technology is not a good thing in certain situations. It is better to get to know people in person rather than social media or anything. No one knows who someone is until they meet them in person because some people lie to make someone like them. Technology can hurt people in different ways: physical, emotional, or any other way. People tend to do things to hurt the other person online rather than to their faces.

Some people decide to date someone through social media when it isn't a good idea to do. People can fake identities to make people think they're another person. people decide to not say who they really are, so they could either kidnap them or make the person they're tricking to send them money if they live in another country. It's rare that people find someone who doesn't lie about who they are. Some people probably decide to date through social media because they think that they won't find anyone who will really like them.

Most people who have technology now use them to communicate with other people instead of in person. Most people decide to communicate through online or text so that they don't see the person's face. People feel more brave to tell a person something mean or hurtful through text or anything. People just decide to not talk, but instead to text.

Most people feel like technology has a good effects when it mostly doesn't. Technology is mostly a bad thing because people decide to date each other through text rather than in person and people communicate mostly through text. People need to go out into the world and talk to new people. Everyone needs to see the difference in the real world rather than through text.",0,1
"Today in society cell phones play a huge part in deaths because people use their cell phones while driving because they want to text, call, take pictures, and or even being on social media. As people continue to depend on cellphones for their communication needs these devices not only become more useful but also more dangerous, especially when people are using their phones at the wrong times. The most dangerous time to use your phone is when you are driving. If you use your phone while you are driving, you are taking a huge risk on losing your life or taking someone else's life. The action of many countries around the world to ban the use of cell phones while driving may have served to deter drivers from using their phones as they drive.

One of the main reasons that make using cell phones while driving very dangerous is that using the cell phone reduces a driver's reaction time in traffic. On busy roads, the amount of time that one talks before reacting to a situation in most cases determines whether someone gets to continue living. It is very dangerous to text and call while driving but texting while driving is more dangerous because the driver must constantly keep looking at the phone screen in order to type or read the messages. Studies show that people who text while driving tend to accelerate more slowly after stepping on the brakes, this can cause irregularities for another driver leading to possible accidents and since their eyes are more on the text than the road, drivers who choose to text while driving have a much higher chance of hitting a pedestrian than those not distracted in driving.

Many accidents, whether severe or not, usually occur within a blink of an eye. This means that just a moment of distraction is enough for a driver to cause a serious road accident. Given the many concerns, it is best if drivers were not only banned from texting but banned from their phones in any way at all as they drive.",0,1
"Summer breaks in most countries are 45-60 days long. Students mostly enjoy the summer by going to a vacation or doing fun stuff. From students' point of view, 60 day summer break is the last thing they want to lose. However, most student lose track of their studies after spending such a long break away from school.

Furthermore, being 60 days away from your frisbee practice would massively impact your game; and the same applies to to studying, you will forget most of the lessons that you've learned. One might say, ""well there are summer classes to keep students connected with their studies."" But to be absolutely honest, no one wants to go to school in a hot summer day. We all want to lay low and have a cold drink in beach while listening to the satisifying sound of waves.

What is the solution? Put an end to long summer breaks (not completely removing them), and instead give students a week off after every 4 week of studying. It gives students and the faculty a brief break after every 4 week, and also it gives students time to work on their important projects. For instance, if I'm studying History of US Museums, I can get a chance to explore the museums and write an article of my own observation about museums in my area. Student can't get everything done on weekends so they need more time. Teachers on the other hand can keep track of the students during the 7-day break and ask them for their progression. Moreover, this gives students to participate in community services and/or religious services, which in my opinion, are crucial in building one's character. The summer break, however, is still there but shrinked to 2 weeks, giving students a chance to go on vacations and trips but not for long.

All in all, 7-day break after every 2 week of school keeps students involved and connected to their studies, community and religion; while giving them the freedom they need to enjoy their summer without losing track of all the studies. ",0,1
"Venus is one, if not the most interesting planet in our solar system. Next to Mars, and the moon, we have put all of our scientific power into studying this very strange yet interesting planet. At one point in time along the scale of our vastly universe, Venus had the closest living conditions to our home, Earth. The planet has mountains, valleys, and space material impacts. Venus is so fascinating and important to us that we, as a race, are willing to put our lives in danger to explore the unknown planet.

In the passage it says, ""Our travels on Earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation."" The meaning behind this sentence showcases that we should not be afraid or unwilling to explore the unknown just because we are scared of what we do not know that is out there. We can not stay on Earth forever. The planet is going to die eventually. We also have concerns of natural resources, over-population, and food density. Which indefinitly means that we need to find a new suitable planet for us, as a race, to strive and survive.

If we do not adapt and overcome our stay on Earth we are smuthering and destroying all the hard work, as a race, that we have put to this planet. Just like in nature, animials are forced to moved from their natural habitats and have to adapt to just simply survive. If we can not do the same we will end up with a much more impactful, dangerous situation. That's what we, as a race, strive on is knowing the unknown. In conclusion, we must always be evolving and adapting to stay ahead of the game.",0,1
